,alpha_wave,beta_wave,theta_wave,delta_wave,gamma_wave,attention,hrv,hr,coherence,SP ratio,BM,sleep,eda,temperature
2023-11-24 13:03:40,94.79570625,98.00671875,92.866825,86.0311375,88.82843125,45.5625,10.8,116.6,0.0,1.0553469309411623,1.0,101.0,,-4.177195
2023-11-24 13:03:50,95.30122499999999,99.25547499999999,93.89488125,86.55609375,90.370975,41.375,15.0,117.57142857142857,0.0,1.0570914375590628,1.0,101.0,,-4.177195
2023-11-24 13:04:00,96.654675,102.24959375,95.01943125,87.92609999999999,94.1400125,69.5625,16.733333333333334,114.4,0.0,1.0760914099872598,1.0,101.0,,-4.177195
2023-11-24 13:04:10,97.11098125000001,102.9562125,95.94484375,89.08888125,95.5887625,66.8125,18.733333333333334,112.33333333333333,0.0,1.0730770771618459,1.0,101.0,,-4.162195
2023-11-24 13:04:20,97.34078124999999,103.8527125,95.970625,89.044825,96.6841875,55.375,16.6,114.2,0.0,1.0821302091134657,1.0,101.0,,-4.147195
2023-11-24 13:04:30,96.6679875,103.8214625,94.25515,86.55947499999999,96.03858125,63.0,13.714285714285714,116.85714285714286,0.0,1.101493791055449,1.0,101.0,,-4.132195
2023-11-24 13:04:40,96.4294375,104.18890625,94.5291625,86.28030625,95.913675,71.8125,11.2,119.66666666666667,0.0,1.1021879755890147,1.0,101.0,,-4.117195
2023-11-24 13:04:50,96.65601999999998,103.03525333333333,95.93557333333332,87.56577999999999,94.05514666666667,71.8,11.866666666666667,118.33333333333333,0.0,1.0740046653531927,1.0,101.0,,-4.102195
2023-11-24 13:05:00,97.036075,102.2394625,96.28037499999999,88.40460625,93.14298124999999,64.0625,12.142857142857142,118.92857142857143,0.0,1.0618930649158773,1.0,101.0,,-4.087195
2023-11-24 13:05:10,97.60143124999999,101.98803125,96.6313625,88.94164375,93.29873125,59.8125,12.6,117.0,0.0,1.0554340600340806,1.0,101.0,,-4.080529
2023-11-24 13:05:20,97.95295625,102.61244375000001,97.10170000000001,89.85788125,95.01978125,60.625,12.066666666666666,110.26666666666667,0.0,1.0567522890948355,1.0,101.0,,-4.073862
2023-11-24 13:05:30,96.92534375,101.46440625,96.23676875,87.8451,93.25653750000001,77.1875,15.8,114.13333333333334,0.0,1.0543205841997891,1.0,101.0,,-4.067195
2023-11-24 13:05:40,95.6195375,101.26365625,95.19820625,87.05863124999999,91.920025,60.0625,16.0,115.5,0.0,1.0637139105759148,1.0,101.0,,-4.060529
2023-11-24 13:05:50,95.56895625,103.512525,94.04656874999999,86.89955625,94.19946250000001,61.6875,15.266666666666667,118.26666666666667,0.0,1.1006517981018846,1.0,101.0,,-4.053862
2023-11-24 13:06:00,95.66713125,105.18417500000001,91.9503125,85.71843125000001,96.5334125,66.6875,16.533333333333335,121.2,0.0,1.1439240622482931,1.0,101.0,,-4.047195
2023-11-24 13:06:10,95.18725333333332,104.23586666666667,89.90599333333333,83.2256,96.23247333333332,78.0,17.0,119.28571428571429,0.0,1.1593872977989825,1.0,101.0,,-4.043862
2023-11-24 13:06:20,95.48253125,102.9315375,91.49755,83.646375,94.96155625,82.5625,18.266666666666666,121.8,0.0,1.1249649580781125,1.0,101.0,,-4.040529
2023-11-24 13:06:30,96.6324875,102.77981875,94.48308125,86.10546875,94.52814375,66.25,16.133333333333333,121.46666666666667,0.0,1.0878118853686305,1.0,101.0,,-4.037195
2023-11-24 13:06:40,97.59212500000001,102.85526875,96.58543125,89.05014375,94.2786,68.4375,11.071428571428571,123.07142857142857,0.0,1.0649149402643474,1.0,101.0,,-4.033862
2023-11-24 13:06:50,97.44063125,103.210475,96.497075,89.63524375,94.5247125,69.0625,9.466666666666667,118.46666666666667,0.0,1.0695710206760154,1.0,101.0,,-4.030529
2023-11-24 13:07:00,97.1855875,103.05081875,96.74001874999999,89.11753125,94.3471375,71.9375,8.666666666666666,115.46666666666667,0.0,1.0652346369325054,1.0,101.0,,-4.027195
2023-11-24 13:07:10,96.68728125,102.399225,95.99895000000001,88.65866875,93.422575,57.75,11.2,115.73333333333333,0.0,1.0666702604559737,1.0,101.0,,-4.033862
2023-11-24 13:07:20,95.90114375,100.56479374999999,95.6762875,88.85806249999999,91.0568125,69.375,14.642857142857142,110.85714285714286,0.0,1.0510942301142276,1.0,101.0,,-4.040529
2023-11-24 13:07:30,95.86318,99.14877999999999,95.45126666666667,88.30969333333333,89.57212,54.46666666666667,17.4,116.26666666666667,0.0,1.0387371845597997,1.0,101.0,,-4.047195
2023-11-24 13:07:40,96.789875,101.1141875,96.18185000000001,89.3247625,92.796125,51.625,15.933333333333334,117.06666666666666,0.0,1.0512813748123995,1.0,101.0,,-4.053862
2023-11-24 13:07:50,97.07000625,103.97665,95.85913125,88.16581250000002,96.11021875,66.5,14.285714285714286,108.28571428571429,0.0,1.0846817475200101,1.0,101.0,,-4.060529
2023-11-24 13:08:00,96.16411249999999,103.6464875,94.2284625,86.7255625,94.8739125,72.6875,20.666666666666668,108.33333333333333,0.0,1.0999488344617743,1.0,101.0,,-4.067195
2023-11-24 13:08:10,96.61284375,101.99341875000002,94.732675,86.77782499999999,92.76425,63.875,21.733333333333334,119.26666666666667,0.0,1.0766445553237045,1.0,101.0,,-4.067195
2023-11-24 13:08:20,95.62525,99.63099375,95.7673,87.629175,89.96834999999999,62.25,24.866666666666667,119.93333333333334,0.0,1.040344603533774,1.0,101.0,,-4.067195
2023-11-24 13:08:30,94.62338125,95.469575,95.21080625,86.647875,85.1119,39.75,25.428571428571427,118.85714285714286,0.0,1.0027178506326324,1.0,101.0,,-4.067195
2023-11-24 13:08:40,93.85833124999999,93.09403125,93.40198125,85.3134125,82.50975,6.625,26.0,120.4,0.0,0.9967029607308249,1.0,101.0,,-4.067195
2023-11-24 13:08:50,94.79994666666667,96.58344666666667,94.19779333333332,86.94478666666666,86.95823333333334,23.933333333333334,27.533333333333335,121.6,0.0,1.0253260002056668,1.0,101.0,,-4.067195
2023-11-24 13:09:00,96.66380000000001,101.33894375,96.63079375000001,89.33726250000001,91.99132499999999,59.375,24.928571428571427,118.07142857142857,0.0,1.048723081093391,1.0,101.0,,-4.067195
2023-11-24 13:09:10,98.09844375,103.4591875,97.67221875000001,90.45936875,95.25601875000001,67.25,11.733333333333333,116.0,0.0,1.0592488716245119,1.0,101.0,,-4.082195
2023-11-24 13:09:20,99.38095000000001,104.9970125,98.66489999999999,91.86714375,98.54733125000001,59.625,9.533333333333333,116.13333333333334,0.0,1.06417796501086,1.0,101.0,,-4.097195
2023-11-24 13:09:30,99.3174375,105.28241875,98.5757375,91.7918875,100.09068124999999,59.0,10.214285714285714,114.14285714285714,0.0,1.068035821187744,1.0,101.0,,-4.112195
2023-11-24 13:09:40,98.38516875,105.68108125,98.2739875,91.09753749999999,100.18277499999999,59.75,11.2,117.6,0.0,1.075371865316852,1.0,101.0,,-4.127195
2023-11-24 13:09:50,98.28303125,106.18224375,97.9923,90.995775,99.9517375,31.4375,11.866666666666667,121.4,0.0,1.0835774213892315,1.0,101.0,,-4.142195
2023-11-24 13:10:00,98.2437,106.5374375,97.90089375,90.96099375,98.86366875,60.4375,11.466666666666667,121.6,0.0,1.0882172104787349,1.0,101.0,,-4.157195
2023-11-24 13:10:10,98.16572666666669,106.2237,97.04734,89.87150666666666,97.90040666666665,58.666666666666664,12.357142857142858,121.21428571428571,0.0,1.09455550250012,1.0,101.0,,-4.170529
2023-11-24 13:10:20,97.57486875000001,105.49810625,95.90400625,88.13668125,97.48801875000001,65.5,12.333333333333334,119.6,0.0,1.1000385737274663,1.0,101.0,,-4.183862
2023-11-24 13:10:30,97.4343125,104.85899375,96.34118125,89.0821,96.70716875,70.5625,11.2,116.93333333333334,0.0,1.0884129962855318,1.0,101.0,,-4.197195
2023-11-24 13:10:40,97.68826875,104.96438125,96.915925,90.47594375,97.21373750000001,72.125,10.071428571428571,116.5,0.0,1.0830457558961544,1.0,101.0,,-4.210529
2023-11-24 13:10:50,98.08281875,105.444475,96.93226874999999,90.18094375,98.3568875,60.125,10.533333333333333,113.06666666666666,0.0,1.0878160220509643,1.0,101.0,,-4.223862
2023-11-24 13:11:00,98.68910625,105.76816249999999,98.4015125,91.3298875,99.0749375,53.25,14.6,113.33333333333333,0.0,1.0748631785512444,1.0,101.0,,-4.237195
2023-11-24 13:11:10,98.46195625,105.7633625,98.59711250000001,91.74996875,98.83435625,67.875,13.533333333333333,118.46666666666667,0.0,1.0726821487799654,1.0,101.0,,-4.245529
2023-11-24 13:11:20,97.35403124999999,105.15100625,96.48282499999999,89.3596875,97.33605625,59.3125,13.142857142857142,121.92857142857143,0.0,1.0898417023962554,1.0,101.0,,-4.253862
2023-11-24 13:11:30,97.32215333333333,104.88099333333334,96.20688666666665,89.29140666666667,96.76815333333336,68.73333333333333,16.133333333333333,125.2,0.0,1.090160974616301,1.0,101.0,,-4.262195
2023-11-24 13:11:40,97.93829375,104.6087625,96.8077625,90.7406875,96.41606250000001,56.625,18.933333333333334,122.4,0.0,1.0805823809841695,1.0,101.0,,-4.270529
2023-11-24 13:11:50,98.12190000000001,104.75883125,98.15663749999999,92.164975,96.70759375,73.5625,19.785714285714285,123.35714285714286,0.0,1.0672618166040988,1.0,101.0,,-4.278862
2023-11-24 13:12:00,98.03248749999999,104.1110625,98.77993125,92.32702499999999,96.39288125,78.0625,18.133333333333333,123.6,0.0,1.0539697809315898,1.0,101.0,,-4.287195
2023-11-24 13:12:10,97.81347500000001,102.64260625,98.7498875,91.64175625,94.67166875,74.125,10.933333333333334,123.93333333333334,0.0,1.0394199816177006,1.0,101.0,,-4.298862
2023-11-24 13:12:20,97.41878125,101.47164375,97.43969999999999,89.91279999999999,93.23460625,61.4375,6.285714285714286,125.35714285714286,0.0,1.041378860464472,1.0,101.0,,-4.310529
2023-11-24 13:12:30,97.06235000000001,101.09941875,96.12838124999999,88.28309375,92.20405,74.5625,8.533333333333333,115.26666666666667,0.0,1.0517124852760382,1.0,101.0,,-4.322195
2023-11-24 13:12:40,95.9659,100.47085625,94.1804,85.93912499999999,91.172975,62.75,24.6,109.13333333333334,0.0,1.066791564380699,1.0,101.0,,-4.333862
2023-11-24 13:12:50,95.10564666666669,101.86459333333333,94.11849333333333,86.88190000000002,92.38581333333333,68.53333333333333,27.666666666666668,114.46666666666667,0.0,1.0823015724716942,1.0,101.0,,-4.345529
2023-11-24 13:13:00,95.6402125,103.62644374999999,95.72480625,88.94179375,95.10760625,73.0625,28.5,116.28571428571429,0.0,1.0825453485835599,1.0,101.0,,-4.357195
2023-11-24 13:13:10,96.651375,103.73809375,97.00820625,91.23181875,95.56967499999999,62.0,27.6,122.46666666666667,0.0,1.069374414393937,1.0,101.0,,-4.367195
