,alpha_wave,beta_wave,theta_wave,delta_wave,gamma_wave,attention,hrv,hr,coherence,SP ratio,BM,sleep,eda,temperature
2023-10-22 23:09:00,95.78969072164949,99.82783505154639,96.71546391752577,89.53917525773197,92.56907216494844,69.62577319587629,45.175257731958766,88.96907216494846,0.0,1.0321806979768477,,,,
2023-10-22 23:10:00,94.66391752577319,98.70824742268042,96.64948453608245,89.26907216494845,90.70206185567012,70.41340206185566,64.6298969072165,84.79381443298969,0.0,1.0213013333333336,,,,
2023-10-22 23:11:00,93.57083333333333,98.27291666666667,95.49583333333334,88.45416666666665,90.29062500000002,68.12083333333334,39.28333333333333,87.38541666666667,0.5625,1.0290806754221389,,,,
2023-10-22 23:12:00,92.3298969072165,100.58762886597938,93.48659793814431,85.85257731958764,92.97628865979381,75.54123711340206,29.439175257731957,84.72164948453609,0.0,1.0759577424406168,,,,
2023-10-22 23:13:00,92.4494845360825,101.07113402061856,93.20103092783505,84.22680412371135,93.09381443298969,74.50721649484535,28.989690721649485,86.10309278350516,0.0,1.0844422321774239,,,,
2023-10-22 23:14:00,92.43333333333334,100.94666666666664,92.99333333333335,85.80000000000001,93.1,81.8,35.96000000000001,86.93333333333334,0.0,1.0855258441465334,,,,
2023-10-23 10:19:00,99.23529411764704,99.05098039215687,101.1058823529412,92.85098039215686,88.19607843137256,43.058823529411754,0.0,61.294117647058826,0.0,0.979675742766271,0.0,84.0,,
2023-10-23 10:20:00,96.5204081632653,96.30918367346938,97.57857142857142,90.13673469387753,86.25102040816327,52.49387755102041,16.46938775510204,99.36734693877551,0.0,0.9869911217543162,0.0,84.0,,
2023-10-23 10:21:00,96.44895833333334,95.33958333333335,97.60000000000001,89.99166666666666,85.78125,43.83958333333334,34.57708333333333,95.25,0.0,0.976839993169399,0.0,84.0,,
2023-10-23 10:22:00,95.1319587628866,93.17216494845361,95.12474226804125,88.32061855670104,80.81340206185567,24.137113402061853,31.87835051546392,93.64948453608247,0.0,0.9794735073858525,0.0,84.0,,
2023-10-23 10:23:00,94.5319587628866,92.95257731958762,94.81340206185568,87.14948453608247,81.06494845360825,23.62371134020618,24.676288659793812,92.70103092783505,0.08247422680412371,0.9803738216138044,0.0,84.0,,
2023-10-23 10:24:00,94.95463917525774,94.62371134020617,95.44123711340207,88.22886597938145,83.6618556701031,40.94123711340206,27.08453608247423,92.02061855670104,0.5154639175257731,0.9914342500378057,0.0,84.0,,
2023-10-23 10:25:00,93.43298969072166,92.9701030927835,94.09484536082475,87.51134020618557,81.21958762886597,29.922680412371133,26.355670103092788,88.22680412371135,0.0,0.9880467175037251,0.0,84.0,,
2023-10-23 10:26:00,94.028125,94.24166666666667,95.27083333333333,87.70833333333333,83.51458333333333,36.975,35.862500000000004,94.41666666666667,0.0,0.989197463371966,0.0,84.0,,
2023-10-23 10:27:00,95.28762886597937,96.61649484536082,96.39690721649484,88.80412371134021,87.94123711340207,58.69072164948454,21.715463917525774,90.25773195876289,0.0,1.002277953050639,0.0,84.0,,
2023-10-23 10:28:00,95.70000000000002,96.08144329896906,95.44020618556702,88.1536082474227,87.28041237113403,61.035051546391756,30.688659793814434,90.96907216494846,0.0,1.0067187314343733,0.0,84.0,,
2023-10-23 10:29:00,95.30103092783506,96.60721649484537,95.73402061855671,88.17319587628867,87.5979381443299,60.31855670103092,37.865979381443296,93.25773195876289,0.0,1.0091210613598673,0.0,84.0,,
2023-10-23 10:30:00,94.19687499999999,96.54270833333334,94.80624999999999,87.153125,87.625,69.09895833333333,31.719791666666666,94.6875,0.0,1.0183158634935285,0.0,84.0,,
2023-10-23 10:31:00,94.30412371134021,98.37422680412371,94.92680412371135,87.76907216494845,89.91134020618556,72.63608247422681,28.977319587628863,93.35051546391753,0.0,1.0363166411451035,0.0,84.0,,
2023-10-23 10:32:00,94.4381443298969,96.64845360824742,94.8536082474227,87.37319587628866,86.88969072164947,58.97010309278351,29.032989690721653,89.55670103092784,0.3917525773195876,1.0189222676289016,0.0,84.0,,
2023-10-23 10:33:00,95.33711340206186,98.34845360824744,96.95876288659794,89.24845360824743,89.98041237113402,73.03711340206186,32.14123711340206,91.56701030927834,0.061855670103092786,1.014332801701223,0.0,84.0,,
2023-10-23 10:34:00,95.40309278350516,98.56288659793815,96.77731958762884,89.24948453608246,89.56907216494847,75.49484536082475,31.41546391752578,89.78350515463917,0.0,1.0184502631186487,0.0,84.0,,
2023-10-23 10:35:00,95.59895833333333,96.06874999999998,96.59791666666666,89.3875,88.590625,57.021874999999994,34.748958333333334,90.22916666666667,0.0,0.994521966053443,0.0,84.0,,
2023-10-23 10:36:00,95.83814432989692,99.30412371134021,95.80721649484538,88.96288659793814,92.32061855670104,75.48762886597937,27.170103092783506,94.48453608247422,0.0,1.0364994135560026,0.0,84.0,,
2023-10-23 10:37:00,96.22268041237113,100.19278350515465,96.44123711340205,89.02886597938145,93.45360824742268,80.13092783505155,24.389690721649487,97.73195876288659,0.0,1.0388998161371705,0.0,84.0,,
2023-10-23 10:38:00,95.78247422680414,99.97113402061856,96.61030927835053,88.07525773195877,93.58350515463918,80.63298969072164,28.577319587628867,94.51546391752578,0.0,1.0347874338398497,0.0,84.0,,
2023-10-23 10:39:00,95.03823529411765,101.20147058823531,95.44999999999999,87.16323529411764,94.98823529411763,78.80588235294117,23.236764705882347,92.02941176470588,0.0,1.0602563707515487,0.0,84.0,,
2023-10-23 11:25:00,97.58550724637679,97.62753623188406,97.77101449275364,90.84347826086956,85.78985507246377,41.60579710144927,0.0,65.04347826086956,0.0,0.9985325071892324,0.0,84.0,,
2023-10-23 11:26:00,96.48041237113402,100.38762886597937,95.93195876288661,89.13608247422681,91.26597938144329,75.91752577319588,17.83917525773196,84.11340206185567,0.0,1.0464461495475743,0.0,84.0,,
2023-10-23 11:27:00,96.30103092783506,98.7958762886598,97.08247422680412,89.61649484536083,89.41546391752577,67.40824742268042,32.206185567010316,88.61855670103093,0.0,1.0176489327811404,0.0,84.0,,
2023-10-23 11:28:00,95.9783505154639,97.46494845360827,96.39793814432988,89.00103092783506,87.72061855670104,65.32783505154639,27.113402061855666,87.45360824742268,0.0,1.0110688084187114,0.0,84.0,,
2023-10-23 11:29:00,96.48041237113401,97.28865979381443,97.33711340206186,89.78350515463917,87.89690721649482,61.353608247422684,58.98247422680413,87.90721649484536,0.0,0.9995022082887615,0.0,84.0,,
2023-10-23 11:30:00,95.09896907216495,98.22680412371135,96.34432989690723,88.47319587628866,90.55773195876289,73.50103092783506,31.76701030927835,82.97938144329896,0.6701030927835051,1.0195390245468359,0.0,84.0,,
2023-10-23 11:31:00,95.38854166666665,99.21979166666667,97.08541666666667,88.90625,91.49895833333333,76.66666666666667,31.77916666666667,86.22916666666667,0.0,1.0219845067702409,0.0,84.0,,
2023-10-23 11:32:00,95.89072164948453,99.76804123711341,97.01752577319589,89.1298969072165,92.09278350515464,75.74639175257731,35.464948453608244,87.44329896907216,0.0,1.028350707173749,0.0,84.0,,
2023-10-23 11:33:00,95.72164948453609,99.2360824742268,95.52680412371134,88.9020618556701,90.98350515463919,76.10927835051547,36.34226804123712,83.10309278350516,0.0,1.038829712608325,0.0,84.0,,
2023-10-23 11:34:00,92.80927835051547,100.07319587628866,93.0979381443299,85.4298969072165,92.17216494845361,82.23711340206185,22.918556701030926,83.82474226804123,0.0,1.0749238691102376,0.0,84.0,,
2023-10-23 11:35:00,95.10312499999999,101.70833333333333,94.65208333333334,87.03229166666665,93.44687500000002,83.49166666666666,29.084374999999998,91.38541666666667,0.40625,1.0745493363854466,0.0,84.0,,
2023-10-23 11:36:00,96.67113402061854,100.43505154639175,96.71134020618557,88.98969072164948,91.29484536082475,79.2360824742268,25.283505154639176,87.30927835051547,0.1958762886597938,1.0385033578509753,0.0,84.0,,
2023-10-23 11:37:00,97.92371134020618,98.76701030927835,98.62061855670102,90.88144329896907,88.40412371134019,72.75051546391752,37.101030927835055,93.58762886597938,0.0,1.0014843929669044,0.0,84.0,,
2023-10-23 11:38:00,98.09484536082475,98.96082474226804,98.78041237113403,91.2958762886598,89.95670103092785,73.86288659793813,42.748453608247424,90.19587628865979,0.0,1.0018263982383084,0.0,84.0,,
